id;start_date;end_date;language
1;2020-01-23T07:22:35;2020-01-23T05:12:50;ARABIC
2;2020-01-22T12:12:46;2020-01-23T07:17:11;ARABIC
3;2020-01-23T03:08:05;2020-01-22T13:42:14;ENGLISH
4;2020-01-22T18:25:36;2020-01-23T05:57:02;ENGLISH
5;2020-01-23T03:55:54;2020-01-23T08:42:53;ENGLISH
6;2020-01-22T21:48:15;2020-01-23T09:56:29;ENGLISH
7;2020-01-22T23:33:35;2020-01-22T17:24:26;ENGLISH
8;2020-01-22T22:29:48;2020-01-23T08:45:56;ARABIC
9;2020-01-22T21:10:57;2020-01-22T17:52:20;ARABIC
10;2020-01-23T05:23:01;2020-01-22T15:57:31;ARABIC
