id;name;age;hoppy
1;circuit CFP Franc invoice;79502;Specialist dynamic
2;exploit Station Burgs;67495;Credit Card Account
3;synthesizing leading-edge Egyptian Pound;22952;robust
4;Junction;62709;Engineer
5;Reactive;43512;Ball Computers
6;Lead AGP installation;640;Specialist quantifying Honduras
7;Burkina Faso reboot;11464;Ball Cambridgeshire index
8;GB Cambridgeshire best-of-breed;92155;Kids South Georgia and the South Sandwich Islands
9;productize Minnesota Handmade;12143;Intranet Coordinator
10;withdrawal;2984;knowledge user CSS
